shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
1.3385,-0.8255,-0.95094,-0.44718,0.12641,2.3773
1.3434,-0.82208,-0.95916,-0.44923,0.13052,2.3829
1.3484,-0.81863,-0.96743,-0.4513,0.13465,2.3886
1.3534,-0.81517,-0.97575,-0.45338,0.13881,2.3943
1.3584,-0.81168,-0.98412,-0.45547,0.143,2.4001
1.3635,-0.80817,-0.99254,-0.45758,0.14721,2.4059
1.3686,-0.80464,-1.001,-0.45969,0.15144,2.4117
1.3737,-0.80109,-1.0095,-0.46183,0.15571,2.4176
1.3788,-0.79751,-1.0181,-0.46397,0.15999,2.4235
1.384,-0.79392,-1.0267,-0.46613,0.16431,2.4294
1.3892,-0.7903,-1.0354,-0.4683,0.16865,2.4354
1.3944,-0.78667,-1.0442,-0.47048,0.17301,2.4414
1.3963,-0.7854,-1.0472,-0.47124,0.17453,2.4435
1.4015,-0.78181,-1.0559,-0.47346,0.1789,2.4495
1.4066,-0.77835,-1.0646,-0.47573,0.18324,2.4555
1.4117,-0.77503,-1.0732,-0.47806,0.18753,2.4615
1.4167,-0.77184,-1.0817,-0.48044,0.1918,2.4675
1.4217,-0.76879,-1.0901,-0.48288,0.19602,2.4735
1.4265,-0.76587,-1.0984,-0.48537,0.20021,2.4795
1.4313,-0.76309,-1.1067,-0.48791,0.20436,2.4855
1.436,-0.76044,-1.1149,-0.4905,0.20846,2.4915
1.4406,-0.75794,-1.123,-0.49315,0.21253,2.4975
1.4452,-0.75557,-1.131,-0.49585,0.21656,2.5034
1.4497,-0.75334,-1.139,-0.49861,0.22055,2.5094
1.4541,-0.75126,-1.1468,-0.50141,0.2245,2.5153
1.4584,-0.74931,-1.1546,-0.50427,0.2284,2.5213
1.4627,-0.74751,-1.1623,-0.50718,0.23226,2.5272
1.4668,-0.74584,-1.1699,-0.51014,0.23608,2.5332
1.4709,-0.74432,-1.1774,-0.51315,0.23985,2.5391
1.4749,-0.74294,-1.1849,-0.51621,0.24358,2.545
1.4789,-0.7417,-1.1922,-0.51933,0.24726,2.5509
1.4827,-0.74061,-1.1995,-0.52249,0.2509,2.5568
1.4865,-0.73966,-1.2067,-0.5257,0.25449,2.5627
1.4902,-0.73885,-1.2138,-0.52897,0.25804,2.5686
1.4938,-0.73819,-1.2208,-0.53228,0.26153,2.5745
1.4974,-0.73767,-1.2278,-0.53565,0.26498,2.5804
1.5008,-0.73729,-1.2346,-0.53906,0.26838,2.5863
1.5042,-0.73706,-1.2414,-0.54252,0.27173,2.5922
1.5075,-0.73697,-1.2481,-0.54603,0.27503,2.598
1.5107,-0.73703,-1.2547,-0.54959,0.27828,2.6039
1.5139,-0.73723,-1.2612,-0.55319,0.28148,2.6097
1.5169,-0.73757,-1.2677,-0.55685,0.28463,2.6156
1.5199,-0.73806,-1.274,-0.56055,0.28773,2.6214
1.5228,-0.7387,-1.2803,-0.56429,0.29078,2.6273
1.5257,-0.73947,-1.2865,-0.56809,0.29377,2.6331
1.5284,-0.74039,-1.2926,-0.57192,0.29671,2.6389
1.5311,-0.74146,-1.2986,-0.57581,0.2996,2.6447
1.5336,-0.74266,-1.3045,-0.57974,0.30243,2.6505
1.5361,-0.74401,-1.3103,-0.58371,0.30521,2.6563
1.5386,-0.7455,-1.3161,-0.58773,0.30793,2.6621
1.5409,-0.74714,-1.3218,-0.59179,0.3106,2.6679
1.5431,-0.74891,-1.3274,-0.59589,0.31321,2.6737
1.5453,-0.75083,-1.3329,-0.60004,0.31577,2.6795
1.5474,-0.75288,-1.3383,-0.60423,0.31827,2.6853
1.5494,-0.75508,-1.3436,-0.60846,0.32072,2.6911
1.5514,-0.75741,-1.3489,-0.61273,0.3231,2.6968
1.5532,-0.75988,-1.3541,-0.61705,0.32543,2.7026
1.555,-0.7625,-1.3592,-0.6214,0.3277,2.7084
1.5567,-0.76524,-1.3642,-0.62579,0.32992,2.7141
1.5583,-0.76813,-1.3691,-0.63023,0.33207,2.7199
1.5599,-0.77115,-1.374,-0.6347,0.33417,2.7256
1.5613,-0.77431,-1.3788,-0.63921,0.33621,2.7313
1.5627,-0.7776,-1.3834,-0.64376,0.33819,2.7371
1.564,-0.78102,-1.3881,-0.64834,0.3401,2.7428
1.5652,-0.78458,-1.3926,-0.65297,0.34196,2.7485
1.5664,-0.78826,-1.397,-0.65763,0.34376,2.7542
1.5674,-0.79208,-1.4014,-0.66232,0.3455,2.76
1.5684,-0.79603,-1.4057,-0.66705,0.34718,2.7657
1.5693,-0.8001,-1.4099,-0.67181,0.34879,2.7714
1.5702,-0.8043,-1.4141,-0.67661,0.35035,2.7771
1.5709,-0.80863,-1.4182,-0.68144,0.35184,2.7828
1.5716,-0.81309,-1.4222,-0.6863,0.35327,2.7885
1.5722,-0.81766,-1.4261,-0.6912,0.35464,2.7941
1.5728,-0.82236,-1.4299,-0.69613,0.35595,2.7998
1.5732,-0.82718,-1.4337,-0.70108,0.3572,2.8055
1.5736,-0.83212,-1.4374,-0.70607,0.35838,2.8112
1.5739,-0.83718,-1.441,-0.71109,0.3595,2.8169
1.5741,-0.84236,-1.4446,-0.71613,0.36056,2.8225
1.5743,-0.84765,-1.4481,-0.72121,0.36156,2.8282
1.5743,-0.85306,-1.4515,-0.72631,0.36249,2.8339
1.5744,-0.85858,-1.4548,-0.73144,0.36336,2.8395
1.5743,-0.86421,-1.4581,-0.73659,0.36417,2.8452
1.5741,-0.86995,-1.4613,-0.74177,0.36491,2.8508
1.5739,-0.8758,-1.4645,-0.74698,0.36559,2.8565
1.5737,-0.88176,-1.4676,-0.75221,0.36621,2.8621
1.5733,-0.88782,-1.4706,-0.75746,0.36676,2.8678
1.5729,-0.89399,-1.4735,-0.76273,0.36725,2.8734
1.5724,-0.90026,-1.4764,-0.76803,0.36768,2.879
1.5718,-0.90663,-1.4793,-0.77335,0.36804,2.8847
1.5712,-0.9131,-1.482,-0.77869,0.36834,2.8903
1.5705,-0.91966,-1.4847,-0.78405,0.36858,2.8959
1.5697,-0.92632,-1.4874,-0.78942,0.36875,2.9016
1.5689,-0.93307,-1.49,-0.79482,0.36886,2.9072
1.568,-0.93992,-1.4925,-0.80023,0.3689,2.9128
1.567,-0.94685,-1.495,-0.80566,0.36889,2.9184
1.566,-0.95387,-1.4974,-0.81111,0.3688,2.924
1.5649,-0.96098,-1.4998,-0.81657,0.36866,2.9296
1.5637,-0.96817,-1.5021,-0.82205,0.36845,2.9353
1.5625,-0.97545,-1.5043,-0.82754,0.36818,2.9409
1.5612,-0.9828,-1.5065,-0.83304,0.36784,2.9465
1.5599,-0.99023,-1.5087,-0.83855,0.36744,2.9521
1.5585,-0.99774,-1.5108,-0.84408,0.36698,2.9577
1.557,-1.0053,-1.5129,-0.84961,0.36646,2.9633
1.5555,-1.013,-1.5149,-0.85516,0.36587,2.9689
1.5539,-1.0207,-1.5168,-0.86071,0.36522,2.9745
1.5522,-1.0285,-1.5188,-0.86627,0.36451,2.9801
1.5505,-1.0364,-1.5206,-0.87184,0.36373,2.9857
1.5488,-1.0443,-1.5225,-0.87742,0.36289,2.9913
1.5469,-1.0523,-1.5243,-0.883,0.36199,2.9969
1.5451,-1.0603,-1.526,-0.88859,0.36103,3.0025
1.5431,-1.0684,-1.5277,-0.89418,0.36001,3.0081
1.5411,-1.0766,-1.5294,-0.89977,0.35893,3.0137
1.5391,-1.0848,-1.5311,-0.90536,0.35778,3.0193
1.537,-1.093,-1.5327,-0.91096,0.35657,3.0249
1.5349,-1.1013,-1.5342,-0.91656,0.35531,3.0305
1.5327,-1.1097,-1.5358,-0.92215,0.35398,3.0361
1.5304,-1.1181,-1.5373,-0.92775,0.35259,3.0417
1.5281,-1.1265,-1.5388,-0.93334,0.35114,3.0472
1.5258,-1.135,-1.5402,-0.93893,0.34963,3.0528
1.5234,-1.1435,-1.5416,-0.94451,0.34807,3.0584
1.521,-1.1521,-1.543,-0.9501,0.34644,3.064
1.5185,-1.1607,-1.5444,-0.95567,0.34475,3.0696
1.516,-1.1693,-1.5457,-0.96124,0.34301,3.0752
1.5134,-1.1779,-1.547,-0.9668,0.34121,3.0808
1.5108,-1.1866,-1.5483,-0.97235,0.33935,3.0864
1.5081,-1.1953,-1.5496,-0.97789,0.33743,3.092
1.5054,-1.204,-1.5509,-0.98343,0.33545,3.0976
1.5027,-1.2127,-1.5521,-0.98895,0.33342,3.1032
1.4999,-1.2214,-1.5533,-0.99446,0.33133,3.1088
1.4971,-1.2302,-1.5545,-0.99995,0.32919,3.1144
1.4942,-1.239,-1.5557,-1.0054,0.32699,3.12
1.4914,-1.2477,-1.5569,-1.0109,0.32473,3.1256
1.4884,-1.2565,-1.558,-1.0164,0.32242,3.1312
1.4855,-1.2653,-1.5592,-1.0218,0.32005,3.1368
1.4825,-1.2741,-1.5603,-1.0272,0.31764,3.1424
1.4794,-1.2829,-1.5614,-1.0326,0.31516,3.148
1.4764,-1.2917,-1.5626,-1.038,0.31264,3.1536
1.4733,-1.3004,-1.5637,-1.0434,0.31006,3.1592
1.4702,-1.3092,-1.5648,-1.0487,0.30743,3.1649
1.467,-1.318,-1.5659,-1.054,0.30475,3.1705
1.4638,-1.3267,-1.567,-1.0593,0.30201,3.1761
1.4606,-1.3354,-1.5681,-1.0646,0.29923,3.1817
1.4574,-1.3441,-1.5692,-1.0698,0.29639,3.1873
1.4541,-1.3528,-1.5703,-1.075,0.29351,3.193
1.4509,-1.3615,-1.5715,-1.0802,0.29057,3.1986
1.4475,-1.3702,-1.5726,-1.0854,0.28759,3.2042
1.4442,-1.3788,-1.5737,-1.0905,0.28456,3.2098
1.4409,-1.3874,-1.5748,-1.0956,0.28148,3.2155
