shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
1.3297,-0.92936,0.79275,0.75192,2.3045,0.56707
1.3339,-0.9268,0.78262,0.75076,2.3048,0.56955
1.338,-0.92422,0.77242,0.74951,2.305,0.572
1.3422,-0.92163,0.76217,0.74819,2.3051,0.57442
1.3464,-0.91903,0.75186,0.74679,2.3052,0.57681
1.3506,-0.91641,0.74149,0.74531,2.3051,0.57917
1.3549,-0.91378,0.73107,0.74375,2.305,0.58149
1.3591,-0.91114,0.72059,0.74211,2.3049,0.58379
1.3634,-0.90849,0.71006,0.7404,2.3046,0.58606
1.3676,-0.90582,0.69947,0.7386,2.3043,0.5883
1.3719,-0.90315,0.68883,0.73673,2.3039,0.5905
1.3762,-0.90046,0.67813,0.73478,2.3034,0.59268
1.3805,-0.89776,0.66738,0.73275,2.3028,0.59483
1.3849,-0.89505,0.65658,0.73065,2.3022,0.59695
1.3892,-0.89233,0.64572,0.72847,2.3015,0.59904
1.3935,-0.8896,0.63481,0.72621,2.3007,0.6011
1.3979,-0.88686,0.62385,0.72387,2.2998,0.60314
1.4023,-0.8841,0.61284,0.72146,2.2988,0.60514
1.4067,-0.88134,0.60177,0.71897,2.2978,0.60712
1.4111,-0.87856,0.59066,0.71641,2.2967,0.60907
1.4155,-0.87578,0.5795,0.71377,2.2955,0.611
1.4199,-0.87299,0.56829,0.71106,2.2943,0.61289
1.4243,-0.87018,0.55702,0.70827,2.2929,0.61476
1.4288,-0.86737,0.54571,0.70541,2.2915,0.61661
1.4332,-0.86455,0.53436,0.70247,2.2901,0.61842
1.4377,-0.86172,0.52295,0.69945,2.2885,0.62021
1.4422,-0.85887,0.5115,0.69637,2.2869,0.62198
1.4467,-0.85603,0.5,0.69321,2.2852,0.62372
1.4512,-0.85317,0.48845,0.68997,2.2834,0.62543
1.4557,-0.8503,0.47686,0.68667,2.2815,0.62712
1.4602,-0.84743,0.46523,0.68329,2.2796,0.62879
1.4647,-0.84454,0.45355,0.67983,2.2776,0.63043
1.4693,-0.84165,0.44183,0.67631,2.2755,0.63204
1.4738,-0.83876,0.43006,0.67271,2.2733,0.63364
1.4784,-0.83585,0.41825,0.66905,2.2711,0.6352
1.483,-0.83294,0.4064,0.66531,2.2688,0.63675
1.4875,-0.83002,0.39451,0.6615,2.2664,0.63827
1.4921,-0.82709,0.38257,0.65761,2.264,0.63977
1.4967,-0.82416,0.3706,0.65366,2.2615,0.64124
1.5013,-0.82122,0.35858,0.64964,2.2589,0.6427
1.5059,-0.81827,0.34653,0.64555,2.2562,0.64413
1.5106,-0.81532,0.33443,0.64139,2.2535,0.64554
1.5152,-0.81236,0.3223,0.63716,2.2507,0.64693
1.5198,-0.8094,0.31013,0.63286,2.2478,0.64829
1.5245,-0.80643,0.29792,0.62849,2.2448,0.64964
1.5291,-0.80346,0.28568,0.62406,2.2418,0.65096
1.5338,-0.80048,0.2734,0.61955,2.2387,0.65227
1.5384,-0.7975,0.26108,0.61498,2.2355,0.65355
1.5431,-0.79451,0.24873,0.61035,2.2323,0.65482
1.5478,-0.79152,0.23635,0.60564,2.229,0.65606
1.5525,-0.78852,0.22393,0.60087,2.2256,0.65729
1.5572,-0.78552,0.21148,0.59604,2.2222,0.65849
1.5619,-0.78252,0.19899,0.59113,2.2186,0.65968
1.5666,-0.77951,0.18647,0.58617,2.2151,0.66085
1.5713,-0.7765,0.17393,0.58114,2.2114,0.662
1.576,-0.77349,0.16135,0.57604,2.2077,0.66313
1.5807,-0.77047,0.14873,0.57088,2.2039,0.66425
1.5854,-0.76745,0.13609,0.56565,2.2,0.66535
1.5902,-0.76443,0.12343,0.56037,2.1961,0.66643
1.5949,-0.76141,0.11073,0.55502,2.1921,0.66749
1.5996,-0.75838,0.098002,0.5496,2.188,0.66854
1.6044,-0.75536,0.085249,0.54413,2.1839,0.66957
1.6091,-0.75233,0.072469,0.53859,2.1797,0.67058
1.6139,-0.7493,0.059663,0.53299,2.1754,0.67158
1.6186,-0.74627,0.046831,0.52733,2.1711,0.67257
1.6234,-0.74324,0.033975,0.52161,2.1667,0.67354
1.6281,-0.74021,0.021094,0.51583,2.1623,0.67449
1.6329,-0.73718,0.0081893,0.50999,2.1577,0.67543
1.6376,-0.73415,-0.0047383,0.50409,2.1531,0.67636
1.6424,-0.73112,-0.017688,0.49813,2.1485,0.67727
1.6472,-0.72809,-0.03066,0.49212,2.1438,0.67817
1.6519,-0.72506,-0.043653,0.48604,2.139,0.67905
1.6567,-0.72203,-0.056667,0.47991,2.1341,0.67993
1.6615,-0.719,-0.069701,0.47372,2.1292,0.68079
1.6662,-0.71598,-0.082754,0.46747,2.1243,0.68163
1.671,-0.71296,-0.095825,0.46117,2.1192,0.68247
1.6758,-0.70993,-0.10891,0.45481,2.1141,0.68329
1.6805,-0.70692,-0.12202,0.4484,2.109,0.6841
1.6853,-0.7039,-0.13515,0.44193,2.1038,0.6849
1.6901,-0.70089,-0.14829,0.4354,2.0985,0.68569
1.6948,-0.69788,-0.16144,0.42882,2.0931,0.68647
1.6996,-0.69487,-0.17461,0.42219,2.0877,0.68724
1.7044,-0.69186,-0.1878,0.4155,2.0823,0.688
1.7091,-0.68886,-0.20099,0.40876,2.0768,0.68875
1.7139,-0.68587,-0.2142,0.40197,2.0712,0.68949
1.7187,-0.68288,-0.22743,0.39513,2.0655,0.69022
1.7234,-0.67989,-0.24066,0.38823,2.0598,0.69094
1.7282,-0.67691,-0.25391,0.38129,2.0541,0.69165
1.7329,-0.67393,-0.26716,0.37429,2.0483,0.69236
1.7377,-0.67096,-0.28043,0.36724,2.0424,0.69305
1.7424,-0.66799,-0.29371,0.36015,2.0365,0.69374
1.7472,-0.66503,-0.30699,0.353,2.0305,0.69442
1.7519,-0.66208,-0.32028,0.34581,2.0244,0.6951
1.7566,-0.65913,-0.33358,0.33856,2.0183,0.69577
1.7614,-0.65619,-0.34688,0.33127,2.0122,0.69643
1.7661,-0.65326,-0.36019,0.32393,2.006,0.69708
1.7708,-0.65033,-0.37351,0.31655,1.9997,0.69773
1.7755,-0.64741,-0.38682,0.30912,1.9934,0.69837
1.7802,-0.6445,-0.40015,0.30164,1.987,0.69901
1.7849,-0.6416,-0.41347,0.29412,1.9806,0.69965
1.7896,-0.6387,-0.4268,0.28655,1.9741,0.70027
1.7943,-0.63582,-0.44013,0.27894,1.9676,0.7009
1.799,-0.63294,-0.45346,0.27128,1.961,0.70152
1.8037,-0.63007,-0.46679,0.26358,1.9544,0.70213
1.8084,-0.62721,-0.48013,0.25583,1.9477,0.70275
1.813,-0.62436,-0.49346,0.24805,1.941,0.70336
1.8177,-0.62152,-0.50678,0.24022,1.9342,0.70396
1.8223,-0.61869,-0.52011,0.23235,1.9273,0.70457
1.827,-0.61587,-0.53343,0.22444,1.9204,0.70517
1.8316,-0.61306,-0.54675,0.21649,1.9135,0.70577
1.8362,-0.61026,-0.56007,0.2085,1.9065,0.70636
1.8409,-0.60747,-0.57338,0.20047,1.8995,0.70696
1.8455,-0.6047,-0.58669,0.1924,1.8924,0.70755
1.8501,-0.60193,-0.59998,0.18429,1.8853,0.70815
1.8546,-0.59918,-0.61328,0.17614,1.8781,0.70874
1.8592,-0.59644,-0.62656,0.16795,1.8709,0.70933
1.8638,-0.59371,-0.63984,0.15973,1.8636,0.70993
1.8683,-0.591,-0.6531,0.15147,1.8563,0.71052
1.8729,-0.5883,-0.66636,0.14318,1.8489,0.71111
1.8774,-0.58561,-0.67961,0.13485,1.8415,0.71171
1.882,-0.58294,-0.69284,0.12648,1.8341,0.7123
1.8865,-0.58028,-0.70607,0.11808,1.8266,0.7129
1.891,-0.57763,-0.71928,0.10965,1.819,0.71349
1.8954,-0.575,-0.73248,0.10118,1.8114,0.71409
1.8999,-0.57238,-0.74566,0.092682,1.8038,0.71469
1.9044,-0.56978,-0.75883,0.084149,1.7961,0.7153
1.9088,-0.56719,-0.77199,0.075583,1.7884,0.71591
1.9133,-0.56462,-0.78513,0.066986,1.7807,0.71652
1.9177,-0.56206,-0.79825,0.058358,1.7729,0.71713
1.9221,-0.55952,-0.81136,0.0497,1.7651,0.71774
